naics,top1_code,top1_desc,top2_code,top2_desc,top3_code,top3_desc,candidate_count
111000,8006,Store — Grocery Retail,4511,Analytical Laboratories,0045,Farm,4
111219,8859,Computer Data Processing,0172,Farm,9082,Caterer — Full Service,5
111332,8810,Clerical Office Employees NOC,,,,,1
111339,8078,Ice Cream Stores,8006,Store — Grocery Retail,,,2
111411,0035,Bulb or Flower Farm,8017,Store Retail NOC,,,2
111419,0035,Bulb or Flower Farm,,,,,1
111421,0005,Farm,8742,Outside Sales,8018,Appliance Distributors,3
111422,8001,Store — Florist,0035-EM,Bulb or Flower Farm,8017,Store Retail NOC,4
111998,0005,Farm,8742,Outside Sales,8810,Clerical Office Employees NOC,8
112000,9061,Club NOC,,,,,1
112310,8810,Clerical Office Employees NOC,,,,,1
112519,0113,Aquaculture NOC,0019,Aquaculture NOC,8742,Outside Sales,6
112920,8742,Outside Sales,0951,Construction/Project Mgr (CGL),,,2
112990,8017,Store Retail NOC,8831,Pet Grooming / Veterinarian,8810,Clerical Office Employees NOC,4
114119,8810,Clerical Office Employees NOC,,,,,1
115000,8018,Appliance Distributors,,,,,1
115112,8742,Outside Sales,0042,Land and Garden Services,8018,Appliance Distributors,7
115114,8810,Clerical Office Employees NOC,,,,,1
115116,8810,Clerical Office Employees NOC,8859,Computer Data Processing,,,2
115310,8810,Clerical Office Employees NOC,0005,Farm,8742,Outside Sales,3
211130,8810,Clerical Office Employees NOC,9015-EM,Buildings NOC,,,2
212200,8601,Architectural / Engineering Firm,8810,Clerical Office Employees NOC,,,2
212210,0955,Analytical Laboratories,,,,,1
212311,8018,Appliance Distributors,8810,Clerical Office Employees NOC,,,2
212321,7219,Trucking NOC,,,,,1
213112,8810,Clerical Office Employees NOC,,,,,1
213114,8810,Clerical Office Employees NOC,,,,,1
221114,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,8603,Architectural/Engineering Firm,5
221118,4511,Analytical Laboratories,8810,Clerical Office Employees NOC,5190,Electrical Wiring,7
221121,8803,Accounting Services (traveling),8859,Computer Data Processing,,,2
221122,8810,Clerical Office Employees NOC,,,,,1
221210,8742,Outside Sales,,,,,1
221310,5188,Auto Sprinkler Installation,5183,Plumbing NOC,8601,Architectural / Engineering Firm,6
221320,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,,,2
236115,5645,Carpentry — Residential,5437,Drywall / Wallboard Installation,8601,Architectural / Engineering Firm,10
236116,8603,Architectural/Engineering Firm,5445,Drywall/Wallboard Installation,9015,Buildings NOC,3
236117,8603,Architectural/Engineering Firm,8810,Clerical Office Employees NOC,,,2
236118,8810,Clerical Office Employees NOC,5403,Carpentry NOC,8742,Outside Sales,6
236210,5645,Carpentry — Residential,5535,Awning Erection,8810,Clerical Office Employees NOC,4
236220,5429,Furniture/Fixtures Installation,8810,Clerical Office Employees NOC,0652,Manufactured/Prefabricated Home,10
237110,8810,Clerical Office Employees NOC,,,,,1
237130,8810,Clerical Office Employees NOC,0953,Computer System Designers,5190,Electrical Wiring,3
237210,8810,Clerical Office Employees NOC,,,,,1
237310,8742,Outside Sales,5201,Concrete or Cement Work,5221,Concrete or Cement Work,4
237990,8601,Architectural / Engineering Firm,,,,,1
238110,5221,Concrete or Cement Work,5201,Concrete or Cement Work,5205,Concrete or Cement Work,7
238120,8859,Computer Data Processing,5183,Plumbing NOC,,,2
238130,5403,Carpentry NOC,5645,Carpentry — Residential,,,2
238140,5022,Masonry NOC,9014,Janitorial / Buildings by Contractor,8832,Physician / Dentist Office,6
238150,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,,,2
238160,8810,Clerical Office Employees NOC,,,,,1
238170,5645,Carpentry — Residential,,,,,1
238190,5221,Concrete or Cement Work,9014,Janitorial / Buildings by Contractor,5474,Plastering NOC,4
238210,5190,Electrical Wiring,5191,Electronic / Precision Equipment Repair,8810,Clerical Office Employees NOC,4
238220,5183,Plumbing NOC,5536,Solar Energy Contractors,8810,Clerical Office Employees NOC,5
238221,5183,Plumbing NOC,,,,,1
238290,5191,Electronic / Precision Equipment Repair,,,,,1
238310,5437,Drywall / Wallboard Installation,,,,,1
238320,8742,Outside Sales,5474,Plastering NOC,,,2
238330,5478,Floor Covering Installation,5474,Plastering NOC,5437,Drywall / Wallboard Installation,10
238340,5348,Ceramic Tile / Stone / Mosaic,8017,Store Retail NOC,8810,Clerical Office Employees NOC,3
238350,5437,Drywall / Wallboard Installation,8810,Clerical Office Employees NOC,,,2
238390,5403,Carpentry NOC,5474,Plastering NOC,5437,Drywall / Wallboard Installation,3
238910,9102,Lawn Maintenance,8742,Outside Sales,6217,Excavation,3
238990,8810,Clerical Office Employees NOC,9014,Janitorial / Buildings by Contractor,6400,Fence Erection Contractors,6
311111,6504,Baby Food Mfg.,8018,Appliance Distributors,8810,Clerical Office Employees NOC,4
311119,8810,Clerical Office Employees NOC,8742,Outside Sales,8018,Appliance Distributors,4
311221,8810,Clerical Office Employees NOC,,,,,1
311230,8810,Clerical Office Employees NOC,2003,Bakery (Wholesale),8742,Outside Sales,3
311340,8017,Store Retail NOC,2041,Candy/Chocolate Mfg.,6504,Baby Food Mfg.,3
311351,2041,Candy/Chocolate Mfg.,8017,Store Retail NOC,8018,Appliance Distributors,6
311352,8017,Store Retail NOC,2041,Candy/Chocolate Mfg.,2003,Bakery (Wholesale),7
311411,8810,Clerical Office Employees NOC,9082,Caterer — Full Service,2111,Cannery / Fruit-Vegetable Canning,4
311412,8810,Clerical Office Employees NOC,8017,Store Retail NOC,8078,Ice Cream Stores,9
311421,2111,Cannery / Fruit-Vegetable Canning,2110,Pickle Mfg.,,,2
311422,6504,Baby Food Mfg.,2157,Beverage Mfg.,,,2
311423,8810,Clerical Office Employees NOC,2003,Bakery (Wholesale),,,2
311511,8810,Clerical Office Employees NOC,,,,,1
311513,2063,Ice Cream Mfg.,8742,Outside Sales,4511,Analytical Laboratories,4
311514,8018,Appliance Distributors,8810,Clerical Office Employees NOC,,,2
311520,8078,Ice Cream Stores,8006,Store — Grocery Retail,8017,Store Retail NOC,9
311611,8018,Appliance Distributors,,,,,1
311612,8742,Outside Sales,,,,,1
311811,2003,Bakery (Wholesale),,,,,1
311812,2003,Bakery (Wholesale),0897,Barbeque w/ Alcohol Sales,9083,Bakery / Doughnut Mfg.,10
311813,2003,Bakery (Wholesale),,,,,1
311820,2016,Cereal or Bar Mfg.,,,,,1
311821,2003,Bakery (Wholesale),2001,Cracker Mfg.,8017,Store Retail NOC,3
311824,2002,Pasta or Noodle Mfg.,,,,,1
311919,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
311920,6504,Baby Food Mfg.,,,,,1
311930,8810,Clerical Office Employees NOC,8871,Document Preparation Services,0953,Computer System Designers,7
311941,8742,Outside Sales,6504,Baby Food Mfg.,,,2
311942,8017,Store Retail NOC,6504,Baby Food Mfg.,8018,Appliance Distributors,3
311991,9082,Caterer — Full Service,9083,Bakery / Doughnut Mfg.,8810,Clerical Office Employees NOC,4
311999,8810,Clerical Office Employees NOC,4611,Cosmetics Mfg.,6504,Baby Food Mfg.,3
312111,8810,Clerical Office Employees NOC,2157,Beverage Mfg.,,,2
312112,8810,Clerical Office Employees NOC,8006,Store — Grocery Retail,,,2
312113,2063,Ice Cream Mfg.,,,,,1
312120,9079,Restaurant / Fast Food,2121,Brewery,,,2
312130,2142,Alcohol Mfg.,2131,Liquor Bottling,2143,Fruit Juice Mfg.,10
312140,9079,Restaurant / Fast Food,8742,Outside Sales,9084,Bar/Nightclub/Tavern,10
313110,2302,Silk Thread/Yarn Mfg.,8810,Clerical Office Employees NOC,,,2
313210,2220,Carpet or Rug Mfg.,,,,,1
313220,4299,Books Printing,0281,Paper Mfg.,,,2
313310,2380,Braid or Fringe Mfg.,,,,,1
313320,4511,Analytical Laboratories,8810,Clerical Office Employees NOC,,,2
314120,2501,Auto/Bus/Truck Parts Mfg.,8810,Clerical Office Employees NOC,,,2
314910,8810,Clerical Office Employees NOC,2501,Auto/Bus/Truck Parts Mfg.,,,2
314999,8810,Clerical Office Employees NOC,2388,Embroidery / Textile Mfg.,8017,Store Retail NOC,5
315120,2362,Glove or Mitten Mfg.,,,,,1
315210,2501,Auto/Bus/Truck Parts Mfg.,8008,Store — Clothing / Shoes,2503,Dressmaking or Tailoring,5
315220,8810,Clerical Office Employees NOC,2501,Auto/Bus/Truck Parts Mfg.,,,2
315240,8810,Clerical Office Employees NOC,,,,,1
315250,8017,Store Retail NOC,2501,Auto/Bus/Truck Parts Mfg.,,,2
315280,8810,Clerical Office Employees NOC,,,,,1
315990,8013,Jewelry Retail,8008,Store — Clothing / Shoes,2501,Auto/Bus/Truck Parts Mfg.,6
316110,8105,Store,8810,Clerical Office Employees NOC,2623,Fur/Leather Apparel Mfg.,3
316210,8810,Clerical Office Employees NOC,2660,Boot or Shoe Mfg. NOC,,,2
316990,2688,Glove Mfg.,,,,,1
316992,2688,Glove Mfg.,8810,Clerical Office Employees NOC,8032,Sewing/Needlework Stores,3
316998,4902,Fishing Rod/Tackle Mfg.,8810,Clerical Office Employees NOC,2688,Glove Mfg.,3
321911,3724-EM,Door Installation,,,,,1
321920,2759,Box Mfg.,2883,Billiard/Pool Table Mfg.,2757,Pallet/Box Mfg. Wooden,3
321991,8810,Clerical Office Employees NOC,8859,Computer Data Processing,5348,Ceramic Tile / Stone / Mosaic,5
321992,2802,Carpentry,8810,Clerical Office Employees NOC,,,2
321999,2883,Billiard/Pool Table Mfg.,2812,Carpentry,2841,Brush or Broom Handle Mfg.,6
322211,8018,Appliance Distributors,,,,,1
322212,8810,Clerical Office Employees NOC,,,,,1
322230,8019,Quick Printing,8017,Store Retail NOC,8018,Appliance Distributors,3
322291,8810,Clerical Office Employees NOC,,,,,1
322299,8742,Outside Sales,,,,,1
323111,4299,Books Printing,8810,Clerical Office Employees NOC,8742,Outside Sales,5
323113,4299,Books Printing,4295,Cloth Printing,,,2
323115,0281,Paper Mfg.,,,,,1
323117,8810,Clerical Office Employees NOC,4299,Books Printing,8871,Document Preparation Services,4
323120,4307,Bookbinding,8810,Clerical Office Employees NOC,0953,Computer System Designers,3
324121,5221,Concrete or Cement Work,5201,Concrete or Cement Work,,,2
324191,8810,Clerical Office Employees NOC,,,,,1
325100,8810,Clerical Office Employees NOC,,,,,1
325110,8810,Clerical Office Employees NOC,,,,,1
325120,4511,Analytical Laboratories,8810,Clerical Office Employees NOC,8742,Outside Sales,5
325180,8810,Clerical Office Employees NOC,,,,,1
325193,9079,Restaurant / Fast Food,2121,Brewery,8742,Outside Sales,3
325199,4611,Cosmetics Mfg.,4511,Analytical Laboratories,0955,Analytical Laboratories,4
325211,8810,Clerical Office Employees NOC,8018,Appliance Distributors,4459,Cellophane Products Mfg.,3
325220,4511,Analytical Laboratories,,,,,1
325314,8810,Clerical Office Employees NOC,,,,,1
325411,8017,Store Retail NOC,8810,Clerical Office Employees NOC,2041,Candy/Chocolate Mfg.,10
325412,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,4611,Cosmetics Mfg.,10
325413,8874,Surgical Appliance Mfg.,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,4
325414,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,4512,Biomedical Research Lab,4
325510,8742,Outside Sales,8018,Appliance Distributors,8810,Clerical Office Employees NOC,3
325611,4611,Cosmetics Mfg.,,,,,1
325620,8810,Clerical Office Employees NOC,4611,Cosmetics Mfg.,8018,Appliance Distributors,3
325910,4557,Buffing/Polishing Compounds Mfg.,8810,Clerical Office Employees NOC,8018,Appliance Distributors,4
325991,8810,Clerical Office Employees NOC,,,,,1
325992,8810,Clerical Office Employees NOC,5191,Electronic / Precision Equipment Repair,3574,Air/Steam Gauge Mfg.,3
325998,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,,,2
326112,8810,Clerical Office Employees NOC,4459,Cellophane Products Mfg.,8742,Outside Sales,4
326150,8810,Clerical Office Employees NOC,,,,,1
326199,8810,Clerical Office Employees NOC,,,,,1
326299,2790,Industrial Mold Mfg.,,,,,1
327110,4062,Pottery Mfg.,8018,Appliance Distributors,,,2
327120,4062,Pottery Mfg.,8810,Clerical Office Employees NOC,,,2
327212,4111,Glass Mfg.,4352,China Decorating,,,2
327213,8810,Clerical Office Employees NOC,,,,,1
327215,8018,Appliance Distributors,8810,Clerical Office Employees NOC,8017,Store Retail NOC,3
327390,8810,Clerical Office Employees NOC,,,,,1
327991,5348,Ceramic Tile / Stone / Mosaic,8601,Architectural / Engineering Firm,,,2
331210,3632,Machine Shop NOC,,,,,1
331410,8810,Clerical Office Employees NOC,,,,,1
332117,4511,Analytical Laboratories,,,,,1
332119,3188,Plumbers Supplies,,,,,1
332213,3122,Cutlery Mfg. NOC,,,,,1
332215,3122,Cutlery Mfg. NOC,8810,Clerical Office Employees NOC,3066,Household Furniture Mfg.,4
332216,3629,Precision Machined Parts NOC,8018,Appliance Distributors,3113,Tool Mfg.,3
332312,3632,Machine Shop NOC,8810,Clerical Office Employees NOC,,,2
332313,3632,Machine Shop NOC,,,,,1
332321,3724,Door Installation,8810,Clerical Office Employees NOC,8742,Outside Sales,3
332322,3076,Airplane,8810,Clerical Office Employees NOC,3067,Sheet Metal Products Mfg.,3
332323,3365,Welding or Cutting NOC,,,,,1
332510,2881,Barrel or Cooperage,,,,,1
332613,3257,Cable or Wire Rope Mfg.,8810,Clerical Office Employees NOC,,,2
332710,3113,Tool Mfg.,3632,Machine Shop NOC,8810,Clerical Office Employees NOC,3
332721,3831,Machine Shop,8810,Clerical Office Employees NOC,3632,Machine Shop NOC,5
332812,8810,Clerical Office Employees NOC,8017,Store Retail NOC,,,2
332913,5183,Plumbing NOC,,,,,1
332994,0281,Paper Mfg.,,,,,1
332996,5183,Plumbing NOC,,,,,1
332999,3632,Machine Shop NOC,8810,Clerical Office Employees NOC,3040,Iron or Steel,5
333111,4902,Fishing Rod/Tackle Mfg.,,,,,1
333112,8810,Clerical Office Employees NOC,3507,Agricultural Machinery Mfg.,,,2
333241,9083,Bakery / Doughnut Mfg.,0110,Ice Cream Mfg.,2121,Brewery,10
333242,4299,Books Printing,5191,Electronic / Precision Equipment Repair,4511,Analytical Laboratories,5
333243,2881,Barrel or Cooperage,2812,Carpentry,2842,Ladder Mfg.,4
333244,8601,Architectural / Engineering Firm,,,,,1
333248,8742,Outside Sales,,,,,1
333249,8742,Outside Sales,,,,,1
333310,0951,Construction/Project Mgr (CGL),,,,,1
333314,8810,Clerical Office Employees NOC,4149,Lens Mfg.,3127,Optical Instrument and Lens Mfg.,4
333316,3681,Printed Circuit Board Mfg.,8810,Clerical Office Employees NOC,,,2
333318,8742,Outside Sales,,,,,1
333413,8810,Clerical Office Employees NOC,,,,,1
333414,4511,Analytical Laboratories,,,,,1
333415,8742,Outside Sales,,,,,1
333511,8810,Clerical Office Employees NOC,3113,Tool Mfg.,8018,Appliance Distributors,3
333515,3632,Machine Shop NOC,,,,,1
333517,4114,Bottle & Jar Mfg.,8742,Outside Sales,0926,Fire Extinguishers,3
333612,3632,Machine Shop NOC,,,,,1
333613,0955,Analytical Laboratories,,,,,1
333618,8810,Clerical Office Employees NOC,8018,Appliance Distributors,,,2
333914,3612,Air/Gas Compressors Mfg.,8810,Clerical Office Employees NOC,,,2
333922,8603,Architectural/Engineering Firm,8810,Clerical Office Employees NOC,8018,Appliance Distributors,4
333991,8810,Clerical Office Employees NOC,,,,,1
333992,3076,Airplane,8810,Clerical Office Employees NOC,3040,Iron or Steel,3
333994,4511,Analytical Laboratories,,,,,1
333995,8810,Clerical Office Employees NOC,3634,Sprinkler Head Mfg.,8871,Document Preparation Services,3
333998,3681,Printed Circuit Board Mfg.,3022,Fabricated Metal Plate Work,8810,Clerical Office Employees NOC,4
333999,8859,Computer Data Processing,8810,Clerical Office Employees NOC,3632,Machine Shop NOC,4
334111,3574,Air/Steam Gauge Mfg.,8810,Clerical Office Employees NOC,,,2
334112,4511,Analytical Laboratories,8859,Computer Data Processing,,,2
334118,8810,Clerical Office Employees NOC,8859,Computer Data Processing,8601,Architectural / Engineering Firm,6
334220,8810,Clerical Office Employees NOC,3681,Printed Circuit Board Mfg.,8859,Computer Data Processing,4
334290,8601,Architectural / Engineering Firm,3681,Printed Circuit Board Mfg.,3146,Hardware Mfg. NOC,4
334310,8810,Clerical Office Employees NOC,8018,Appliance Distributors,8859,Computer Data Processing,10
334413,3179,Alarm Mfg.,,,,,1
334417,3651,Electric Wire Harness Mfg.,8810,Clerical Office Employees NOC,8742,Outside Sales,3
334418,3681,Printed Circuit Board Mfg.,8810,Clerical Office Employees NOC,0953,Computer System Designers,5
334419,8810,Clerical Office Employees NOC,3178,Electronic Capacitor Mfg.,3685,Lab Instrument Mfg.,10
334510,8742,Outside Sales,,,,,1
334511,8810,Clerical Office Employees NOC,3685,Lab Instrument Mfg.,0953,Computer System Designers,3
334512,3126,Tool Mfg.,8810,Clerical Office Employees NOC,,,2
334513,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,4511,Analytical Laboratories,4
334515,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
334516,3572,Medical/Dental Equipment Mfg.,8810,Clerical Office Employees NOC,3681,Printed Circuit Board Mfg.,7
334519,8810,Clerical Office Employees NOC,3572,Medical/Dental Equipment Mfg.,4511,Analytical Laboratories,10
334614,8810,Clerical Office Employees NOC,8803,Accounting Services (traveling),8859,Computer Data Processing,5
335121,8810,Clerical Office Employees NOC,3180,Electric Lighting Fixtures Mfg.,3191,Electric/Gas Lighting Fixtures,5
335122,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,,,2
335129,8859,Computer Data Processing,8742,Outside Sales,8810,Clerical Office Employees NOC,3
335132,8810,Clerical Office Employees NOC,,,,,1
335210,3632,Machine Shop NOC,8810,Clerical Office Employees NOC,,,2
335220,8803,Accounting Services (traveling),8810,Clerical Office Employees NOC,3724,Door Installation,3
335314,3643,Electrical Transmission Mfg.,,,,,1
335911,8871,Document Preparation Services,5191,Electronic / Precision Equipment Repair,8810,Clerical Office Employees NOC,3
335921,8810,Clerical Office Employees NOC,7600,Communication Equipment Installation,8742,Outside Sales,3
335931,4470,Cable Mfg.,,,,,1
335999,8810,Clerical Office Employees NOC,3179,Alarm Mfg.,8803,Accounting Services (traveling),4
336111,8390,Auto Van Conversion,8742,Outside Sales,8810,Clerical Office Employees NOC,3
336112,3824,Auto/Bus/Truck Body Mfg.,3815,Light Truck/Utility Vehicle Mfg.,,,2
336120,0953,Computer System Designers,,,,,1
336211,3808,Automobile Mfg. or Assembly,8810,Clerical Office Employees NOC,,,2
336214,0451,Mobile Home Mfg.,,,,,1
336320,8810,Clerical Office Employees NOC,3681,Printed Circuit Board Mfg.,8601,Architectural / Engineering Firm,5
336340,8810,Clerical Office Employees NOC,,,,,1
336350,8292,Warehousing NOC,,,,,1
336390,8810,Clerical Office Employees NOC,3632,Machine Shop NOC,,,2
336411,8601,Architectural / Engineering Firm,8810,Clerical Office Employees NOC,3681,Printed Circuit Board Mfg.,7
336413,8810,Clerical Office Employees NOC,,,,,1
336414,8859,Computer Data Processing,8742,Outside Sales,8810,Clerical Office Employees NOC,5
336611,9521,Advertising Display Install,,,,,1
336612,3629,Precision Machined Parts NOC,8380,Tire Dealer — Retail,8810,Clerical Office Employees NOC,3
336991,3632,Machine Shop NOC,8810,Clerical Office Employees NOC,3865,Baby Carriage Mfg.,7
336992,8810,Clerical Office Employees NOC,8601,Architectural / Engineering Firm,,,2
336999,3632,Machine Shop NOC,,,,,1
337110,2812,Carpentry,2881,Barrel or Cooperage,2883,Billiard/Pool Table Mfg.,9
337120,2881,Barrel or Cooperage,,,,,1
337121,9522,Auto/Truck Body Mfg.,8810,Clerical Office Employees NOC,2883,Billiard/Pool Table Mfg.,3
337122,2881,Barrel or Cooperage,2883,Billiard/Pool Table Mfg.,8810,Clerical Office Employees NOC,4
337126,2883,Billiard/Pool Table Mfg.,,,,,1
337211,2881,Barrel or Cooperage,2883,Billiard/Pool Table Mfg.,8810,Clerical Office Employees NOC,3
337212,2802,Carpentry,,,,,1
337910,8810,Clerical Office Employees NOC,,,,,1
337920,8810,Clerical Office Employees NOC,9521,Advertising Display Install,3146,Hardware Mfg. NOC,3
339112,8810,Clerical Office Employees NOC,4511,Analytical Laboratories,8601,Architectural / Engineering Firm,5
339113,3682,Surgical/Medical Instrument Mfg.,8810,Clerical Office Employees NOC,4484,Bottle & Jar Mfg.,10
339114,8810,Clerical Office Employees NOC,8742,Outside Sales,4692,Dental Laboratory,5
339115,8013,Jewelry Retail,8810,Clerical Office Employees NOC,4150,Lens Mfg.,6
339116,4692,Dental Laboratory,8810,Clerical Office Employees NOC,,,2
339910,8742,Outside Sales,3383,Costume Jewelry Mfg.,,,2
339911,8013,Jewelry Retail,,,,,1
339920,8017,Store Retail NOC,8810,Clerical Office Employees NOC,0953,Computer System Designers,3
339930,8810,Clerical Office Employees NOC,,,,,1
339940,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
339950,8810,Clerical Office Employees NOC,,,,,1
339991,4484,Bottle & Jar Mfg.,,,,,1
339992,8018,Appliance Distributors,2923,Musical Instrument Mfg.,8810,Clerical Office Employees NOC,8
339999,4558,Caulking/Putty Mfg.,2881,Barrel or Cooperage,,,2
423110,8389,Air Conditioning Systems,8046,Motor Vehicle Parts (Used),8810,Clerical Office Employees NOC,3
423120,8391,Auto Repair / Sales / Service,,,,,1
423210,8810,Clerical Office Employees NOC,,,,,1
423220,8810,Clerical Office Employees NOC,,,,,1
423310,8810,Clerical Office Employees NOC,2802,Carpentry,,,2
423320,8059,Store,8058,Hardware Stores,8810,Clerical Office Employees NOC,3
423330,3179,Alarm Mfg.,8742,Outside Sales,,,2
423390,2881,Barrel or Cooperage,8810,Clerical Office Employees NOC,,,2
423410,8071,Books & Magazine Stores,8017,Store Retail NOC,8810,Clerical Office Employees NOC,3
423420,8810,Clerical Office Employees NOC,8742,Outside Sales,8018,Appliance Distributors,5
423430,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
